BRAND_ID,BRAND_NAME,STATE_ABBR,spend,trans
20485,PUREVPN,OH,23.24,2.07
20485,PUREVPN,OR,28.21,0.95
20485,PUREVPN,PA,795.13,19.15
20485,PUREVPN,SC,64.28,1.83
20485,PUREVPN,SD,206.83999999999997,4.51
20485,PUREVPN,TN,957.5999999999999,16.36
20485,PUREVPN,TX,691.11,18.29
20485,PUREVPN,UT,44.14,0.87
20485,PUREVPN,VA,377.5,7.67
20485,PUREVPN,WA,1063.69,17.700000000000003
20485,PUREVPN,WI,44.42,4.14
17728,STRONG VPN,AZ,309.2,7.02
17728,STRONG VPN,CA,885.8,42.23
17728,STRONG VPN,CT,28.01,7.76
17728,STRONG VPN,FL,29.34,2.44
17728,STRONG VPN,IL,922.1,12.22
17728,STRONG VPN,MI,59.73,12.21
17728,STRONG VPN,NC,62.68,6.0200000000000005
17728,STRONG VPN,OR,250.83,5.58
17728,STRONG VPN,TX,16.75,1.44
17728,STRONG VPN,UT,56.24,4.93
17728,STRONG VPN,WA,415.61,12.600000000000001
