time_id,date,threshold_minutes,num_persons,share_of_all
8045,2022-01-10,120,3314,1.1626356817591794
8045,2022-01-10,300,1268,0.4448467243423776
8046,2022-01-11,10,14788,5.18800738136836
8046,2022-01-11,30,9328,3.2725001929540207
8046,2022-01-11,60,6116,2.1456487114179668
8046,2022-01-11,120,3622,1.2706899334133215
8046,2022-01-11,300,1413,0.4957164207379965
8047,2022-01-12,10,15456,5.42235881028059
8047,2022-01-12,30,9869,3.462296784333537
8047,2022-01-12,60,6536,2.2929954182190695
8047,2022-01-12,120,3919,1.3748851046512445
8047,2022-01-12,300,1576,0.5529009759965198
8048,2022-01-13,10,16137,5.661270970593807
8048,2022-01-13,30,10370,3.63806035601771
8048,2022-01-13,60,6953,2.4392896485430215
8048,2022-01-13,120,4189,1.4696079875948107
8048,2022-01-13,300,1735,0.6086822292855087
8049,2022-01-14,10,16797,5.892815795566969
8049,2022-01-14,30,10856,3.808561545316129
8049,2022-01-14,60,7356,2.580672321973604
8049,2022-01-14,120,4443,1.5587176626602397
8049,2022-01-14,300,1894,0.6644634825744977
8050,2022-01-15,10,17400,6.104363567474267
8050,2022-01-15,30,11330,3.974852828705945
8050,2022-01-15,60,7729,2.711530230632679
8050,2022-01-15,120,4700,1.6488798142028194
8050,2022-01-15,300,2041,0.7160348299548839
8051,2022-01-16,10,18028,6.324681976691155
8051,2022-01-16,30,11789,4.135881729710008
8051,2022-01-16,60,8127,2.851158776601343
8051,2022-01-16,120,4976,1.745707650100687
8051,2022-01-16,300,2209,0.774973512675325
8052,2022-01-17,10,18564,6.5127244406087526
8052,2022-01-17,30,12232,4.2912974228359335
8052,2022-01-17,60,8469,2.9711410949965265
8052,2022-01-17,120,5247,1.8407813585366368
8052,2022-01-17,300,2384,0.8363679738424513
8053,2022-01-18,10,19089,6.696907824110131
8053,2022-01-18,30,12675,4.446713115961858
8053,2022-01-18,60,8818,3.0935791918383955
8053,2022-01-18,120,5523,1.9376091944345044
8053,2022-01-18,300,2528,0.8868868447456866
8054,2022-01-19,10,19626,6.885301113520113
8054,2022-01-19,30,13080,4.588797440377208
8054,2022-01-19,60,9167,3.2160172886802645
8054,2022-01-19,120,5782,2.028472996961851
8054,2022-01-19,300,2663,0.9342482862174697
8055,2022-01-20,10,20074,7.042470934107955
8055,2022-01-20,30,13444,4.71649791960483
8055,2022-01-20,60,9474,3.323720714842023
8055,2022-01-20,120,6015,2.110215336687225
8055,2022-01-20,300,2797,0.9812589021968693
8056,2022-01-21,10,20514,7.1968341507567315
8056,2022-01-21,30,13784,4.835778587015247
8056,2022-01-21,60,9799,3.4377389998666867
8056,2022-01-21,120,6239,2.1888002469811467
8056,2022-01-21,300,2922,1.0251120887448166
8057,2022-01-22,10,20928,7.342075904603532
8057,2022-01-22,30,14107,4.949095221055143
8057,2022-01-22,60,10076,3.5349176612569373
8057,2022-01-22,120,6485,2.2751033181075067
8057,2022-01-22,300,3032,1.0637028929070103
8058,2022-01-23,10,21347,7.489071785912252
8058,2022-01-23,30,14444,5.067323411988409
8058,2022-01-23,60,10343,3.6285880677233533
8058,2022-01-23,120,6695,2.3487766715080585
8058,2022-01-23,300,3153,1.1061527774854232
8059,2022-01-24,10,21776,7.6395759221448065
8059,2022-01-24,30,14771,5.182043347997839
8059,2022-01-24,60,10589,3.7148911388497137
8059,2022-01-24,120,6908,2.4235025013857605
8059,2022-01-24,300,3267,1.1461468836171511
8060,2022-01-25,10,22187,7.783765199514457
8060,2022-01-25,30,15077,5.289395948667214
8060,2022-01-25,60,10834,3.80084338448369
8060,2022-01-25,120,7111,2.494720076339627
8060,2022-01-25,300,3384,1.18719346622603
8061,2022-01-26,10,22536,7.906203296356326
8061,2022-01-26,30,15357,5.387627086534616
8061,2022-01-26,60,11093,3.891707187011037
8061,2022-01-26,120,7306,2.563131047354425
8061,2022-01-26,300,3506,1.2299941762968265
8062,2022-01-27,10,22887,8.029343044182962
8062,2022-01-27,30,15626,5.4819991439857985
8062,2022-01-27,60,11322,3.9720462247668764
8062,2022-01-27,120,7510,2.634699447800675
8062,2022-01-27,300,3608,1.2657783765199513
8063,2022-01-28,10,23192,8.136344819359955
8063,2022-01-28,30,15870,5.567600564127392
8063,2022-01-28,60,11542,4.049227833091264
8063,2022-01-28,120,7671,2.691182352074431
8063,2022-01-28,300,3726,1.3071757846212138
8064,2022-01-29,10,23521,8.25176640635415
8064,2022-01-29,30,16121,5.65565776271567
8064,2022-01-29,60,11784,4.13412760224809
8064,2022-01-29,120,7846,2.7525768132415576
8064,2022-01-29,300,3837,1.346117414275791
8065,2022-01-30,10,23860,8.370696248272184
8065,2022-01-30,30,16369,5.7426624848267975
8065,2022-01-30,60,12015,4.2151682909886965
8065,2022-01-30,120,8032,2.817830354824903
8065,2022-01-30,300,3960,1.3892689498389712
8066,2022-01-31,10,24158,8.475242245002491
8066,2022-01-31,30,16595,5.821949046105486
8066,2022-01-31,60,12199,4.279720181587275
8066,2022-01-31,120,8187,2.872208306144358
8066,2022-01-31,300,4066,1.4264564520316305
8067,2022-02-01,10,24435,8.572420906392741
8067,2022-02-01,30,16833,5.9054455132927774
8067,2022-02-01,60,12386,4.3453245486630045
8067,2022-02-01,120,8340,2.925884606479045
8067,2022-02-01,300,4163,1.4604865247928376
