"period","beta_m","se_m","ci_lo_m","ci_hi_m","ctrl_post_mean","pct_change","pct_ci_lo","pct_ci_hi","site","bucket","bucket_label","share_sessions","share_minutes","is_total"
"short",-0.0740961128696535,0.00792331483962678,-0.090150273679912,-0.0580419520593951,0.1259082130626,-0.588493086092913,-0.715999945413333,-0.460986226772492,"Pornhub",12,"10pm–12am",0.112009912399271,0.116280258350252,FALSE
"long",-0.0806267040984562,0.0104890753498874,-0.101879589516543,-0.0593738186803699,0.125580721851742,-0.642030901794326,-0.811267748857341,-0.47279405473131,"Pornhub",12,"10pm–12am",0.112009912399271,0.116280258350252,FALSE
"short",-0.578619816287076,0.0504482157481241,-0.680837610809191,-0.47640202176496,1.04442316896032,-0.554008981688016,-0.651879076454172,-0.456138886921859,"Pornhub",13,"All",NA,NA,TRUE
"long",-0.671494330837457,0.0616354712889105,-0.796379658218294,-0.54660900345662,1.03507699017451,-0.648738535598443,-0.769391712672529,-0.528085358524357,"Pornhub",13,"All",NA,NA,TRUE
"short",0.0102652040694898,0.00333475177338487,0.00350835516018444,0.0170220529787952,0.0294029154813525,0.34912197996148,0.119319975680965,0.578923984241994,"Xvideos",1,"12–2am",0.0659489520594772,0.0688316630031552,FALSE
"long",0.0163177849230654,0.00384094545616987,0.00853529018886812,0.0241002796572627,0.0240572676982325,0.678289202570759,0.354790506383865,1.00178789875765,"Xvideos",1,"12–2am",0.0659489520594772,0.0688316630031552,FALSE
"short",0.00793537586299493,0.00307798600272789,0.00169878382295858,0.0141719679030313,0.0215171048308852,0.368793846819236,0.078950390227229,0.658637303411244,"Xvideos",2,"2–4am",0.0456103561554312,0.0498035263738684,FALSE
"long",0.0173413208091315,0.00515672067767801,0.00689281223807396,0.0277898293801891,0.0173409587961252,1.00002087618168,0.397487377665309,1.60255437469805,"Xvideos",2,"2–4am",0.0456103561554312,0.0498035263738684,FALSE
"short",0.0116480773098123,0.0051478438010298,0.00121755499931457,0.02207859962031,0.0252301661835903,0.461672635251535,0.04825790644639,0.875087364056679,"Xvideos",3,"4–6am",0.0522376103815351,0.0590279810571172,FALSE
"long",0.0222543922867112,0.0066026863696448,0.00887607892879187,0.0356327056446305,0.0210317046871076,1.05813544920841,0.422033261727609,1.69423763668921,"Xvideos",3,"4–6am",0.0522376103815351,0.0590279810571172,FALSE
"short",0.017853491834564,0.0070831872513813,0.00350159121159135,0.0322053924575367,0.0317390467532905,0.562508760056352,0.110324397541282,1.01469312257142,"Xvideos",4,"6–8am",0.0703491443101263,0.074516165518629,FALSE
"long",0.0125793235554123,0.00543775444523265,0.00156138648267887,0.0235972606281457,0.0265166726953821,0.474392986628485,0.05888319777582,0.88990277548115,"Xvideos",4,"6–8am",0.0703491443101263,0.074516165518629,FALSE
"short",0.0195414524893287,0.00812381108670877,0.00308104769436703,0.0360018572842903,0.0364474041092893,0.536154850170746,0.0845340777940826,0.98777562254741,"Xvideos",5,"8–10am",0.0847504945061046,0.0887536472339093,FALSE
"long",0.0163203155395882,0.00653184736929784,0.00308553563026043,0.029555095448916,0.0307250304748908,0.531173290549721,0.100424168261835,0.961922412837608,"Xvideos",5,"8–10am",0.0847504945061046,0.0887536472339093,FALSE
"short",0.00856690692847066,0.00234942781980168,0.00380651398755759,0.0133272998693837,0.0376743699482052,0.22739350227352,0.101037230159145,0.353749774387896,"Xvideos",6,"10am–12pm",0.0890396509032767,0.0889103109521348,FALSE
"long",0.0138541431307528,0.00481489414486411,0.00409824090414612,0.0236100453573594,0.0317613618991614,0.436194870192848,0.129032278815926,0.74335746156977,"Xvideos",6,"10am–12pm",0.0890396509032767,0.0889103109521348,FALSE
"short",0.0210071982988529,0.00781331376523214,0.00517592083645799,0.0368384757612479,0.037904858343118,0.554208595338729,0.136550327918525,0.971866862758934,"Xvideos",7,"12–2pm",0.0930036308724087,0.090601699069228,FALSE
"long",0.0267906535707439,0.0053285008038876,0.0159940854026623,0.0375872217388255,0.0321007694115217,0.83457979549637,0.49824616966725,1.17091342132549,"Xvideos",7,"12–2pm",0.0930036308724087,0.090601699069228,FALSE
"short",0.0210598842606598,0.00324511699495414,0.014484652663836,0.0276351158574835,0.0388384759669336,0.542242807843176,0.37294595895493,0.711539656731422,"Xvideos",8,"2–4pm",0.102842993716957,0.0907057635684322,FALSE
"long",0.0231352108100751,0.00673957303235933,0.00947953872787436,0.0367908828922758,0.0322347717179807,0.717709776649981,0.294078047482701,1.14134150581726,"Xvideos",8,"2–4pm",0.102842993716957,0.0907057635684322,FALSE
"short",0.00881761759431334,0.00318333638966227,0.00236756539429336,0.0152676697943333,0.039766379712506,0.221735487566657,0.059536860317933,0.383934114815381,"Xvideos",9,"4–6pm",0.100076614738899,0.0922656077152153,FALSE
"long",0.0199452296827122,0.00373584556743802,0.0123756875509286,0.0275147718144958,0.0337525318692787,0.590925438125907,0.366659532353269,0.815191343898545,"Xvideos",9,"4–6pm",0.100076614738899,0.0922656077152153,FALSE
"short",0.0207123693234026,0.0103044843921942,-0.000166499287462291,0.0415912379342675,0.0396826191272226,0.521950662001383,-0.00419577364408567,1.04809709764685,"Xvideos",10,"6–8pm",0.0955907662584248,0.0934422123272498,FALSE
"long",0.0221227910354829,0.00945168540973175,0.00297185729536225,0.0412737247756036,0.0350185617542038,0.631744707014623,0.0848652013815358,1.17862421264771,"Xvideos",10,"6–8pm",0.0955907662584248,0.0934422123272498,FALSE
"short",0.0254652281717338,0.00688177460965924,0.0115214283253772,0.0394090280180905,0.043090138361769,0.590975780999752,0.267379701328584,0.914571860670919,"Xvideos",11,"8–10pm",0.102973064288173,0.10412143988995,FALSE
"long",0.0302902115050222,0.0074556462902433,0.0151836371847203,0.0453967858253241,0.0364924025170018,0.830041581693889,0.416076666304617,1.24400649708316,"Xvideos",11,"8–10pm",0.102973064288173,0.10412143988995,FALSE
"short",0.0242808350731822,0.00774457068696449,0.00858884431785859,0.0399728258285058,0.0405737478370954,0.598437077360228,0.21168476603007,0.985189388690386,"Xvideos",12,"10pm–12am",0.0975767218091865,0.099019983291111,FALSE
"long",0.0404132576777676,0.0118801073582034,0.0163418736885991,0.064484641666936,0.0352548195658244,1.14631866438323,0.46353587650866,1.8291014522578,"Xvideos",12,"10pm–12am",0.0975767218091865,0.099019983291111,FALSE
"short",0.197153641218857,0.0497679980893819,0.0963140985901042,0.297993183847609,0.421867226654601,0.467335760547889,0.228304292215048,0.70636722888073,"Xvideos",13,"All",NA,NA,TRUE
"long",0.261364634529237,0.0611145109381954,0.137534873084555,0.385194395973919,0.356286853085994,0.733579227707719,0.386022868633213,1.08113558678222,"Xvideos",13,"All",NA,NA,TRUE
