pages,period,count,share
172.0,pre,3,4.884649013545131e-06
173.0,pre,5,8.141081689241887e-06
174.0,pre,4,6.512865351393509e-06
175.0,pre,4,6.512865351393509e-06
176.0,pre,3,4.884649013545131e-06
177.0,pre,1,1.6282163378483772e-06
178.0,pre,4,6.512865351393509e-06
179.0,pre,1,1.6282163378483772e-06
180.0,pre,2,3.2564326756967544e-06
181.0,pre,6,9.769298027090263e-06
182.0,pre,4,6.512865351393509e-06
183.0,pre,2,3.2564326756967544e-06
184.0,pre,1,1.6282163378483772e-06
185.0,pre,2,3.2564326756967544e-06
186.0,pre,1,1.6282163378483772e-06
187.0,pre,4,6.512865351393509e-06
188.0,pre,2,3.2564326756967544e-06
189.0,pre,3,4.884649013545131e-06
190.0,pre,2,3.2564326756967544e-06
191.0,pre,4,6.512865351393509e-06
192.0,pre,3,4.884649013545131e-06
193.0,pre,1,1.6282163378483772e-06
194.0,pre,3,4.884649013545131e-06
195.0,pre,4,6.512865351393509e-06
196.0,pre,3,4.884649013545131e-06
197.0,pre,3,4.884649013545131e-06
198.0,pre,2,3.2564326756967544e-06
199.0,pre,3,4.884649013545131e-06
200.0,pre,1,1.6282163378483772e-06
201.0,pre,2,3.2564326756967544e-06
203.0,pre,4,6.512865351393509e-06
204.0,pre,2,3.2564326756967544e-06
205.0,pre,1,1.6282163378483772e-06
207.0,pre,1,1.6282163378483772e-06
208.0,pre,1,1.6282163378483772e-06
209.0,pre,1,1.6282163378483772e-06
210.0,pre,5,8.141081689241887e-06
211.0,pre,1,1.6282163378483772e-06
213.0,pre,1,1.6282163378483772e-06
214.0,pre,1,1.6282163378483772e-06
215.0,pre,2,3.2564326756967544e-06
216.0,pre,2,3.2564326756967544e-06
217.0,pre,2,3.2564326756967544e-06
218.0,pre,1,1.6282163378483772e-06
219.0,pre,4,6.512865351393509e-06
220.0,pre,5,8.141081689241887e-06
223.0,pre,1,1.6282163378483772e-06
224.0,pre,3,4.884649013545131e-06
225.0,pre,2,3.2564326756967544e-06
226.0,pre,1,1.6282163378483772e-06
230.0,pre,1,1.6282163378483772e-06
232.0,pre,1,1.6282163378483772e-06
233.0,pre,1,1.6282163378483772e-06
234.0,pre,1,1.6282163378483772e-06
235.0,pre,1,1.6282163378483772e-06
236.0,pre,2,3.2564326756967544e-06
237.0,pre,1,1.6282163378483772e-06
239.0,pre,1,1.6282163378483772e-06
241.0,pre,1,1.6282163378483772e-06
242.0,pre,1,1.6282163378483772e-06
243.0,pre,1,1.6282163378483772e-06
245.0,pre,1,1.6282163378483772e-06
246.0,pre,1,1.6282163378483772e-06
247.0,pre,2,3.2564326756967544e-06
248.0,pre,1,1.6282163378483772e-06
250.0,pre,1,1.6282163378483772e-06
251.0,pre,1,1.6282163378483772e-06
253.0,pre,2,3.2564326756967544e-06
256.0,pre,1,1.6282163378483772e-06
257.0,pre,1,1.6282163378483772e-06
259.0,pre,2,3.2564326756967544e-06
260.0,pre,2,3.2564326756967544e-06
262.0,pre,1,1.6282163378483772e-06
263.0,pre,1,1.6282163378483772e-06
264.0,pre,1,1.6282163378483772e-06
265.0,pre,1,1.6282163378483772e-06
266.0,pre,1,1.6282163378483772e-06
267.0,pre,1,1.6282163378483772e-06
269.0,pre,1,1.6282163378483772e-06
271.0,pre,1,1.6282163378483772e-06
273.0,pre,1,1.6282163378483772e-06
274.0,pre,1,1.6282163378483772e-06
275.0,pre,1,1.6282163378483772e-06
276.0,pre,1,1.6282163378483772e-06
279.0,pre,2,3.2564326756967544e-06
280.0,pre,2,3.2564326756967544e-06
283.0,pre,1,1.6282163378483772e-06
285.0,pre,2,3.2564326756967544e-06
288.0,pre,2,3.2564326756967544e-06
294.0,pre,1,1.6282163378483772e-06
299.0,pre,1,1.6282163378483772e-06
302.0,pre,1,1.6282163378483772e-06
321.0,pre,1,1.6282163378483772e-06
330.0,pre,1,1.6282163378483772e-06
336.0,pre,1,1.6282163378483772e-06
343.0,pre,1,1.6282163378483772e-06
350.0,pre,1,1.6282163378483772e-06
366.0,pre,1,1.6282163378483772e-06
373.0,pre,1,1.6282163378483772e-06
380.0,pre,1,1.6282163378483772e-06
385.0,pre,1,1.6282163378483772e-06
399.0,pre,1,1.6282163378483772e-06
401.0,pre,1,1.6282163378483772e-06
414.0,pre,1,1.6282163378483772e-06
449.0,pre,1,1.6282163378483772e-06
459.0,pre,1,1.6282163378483772e-06
505.0,pre,1,1.6282163378483772e-06
531.0,pre,1,1.6282163378483772e-06
539.0,pre,1,1.6282163378483772e-06
998.0,pre,1,1.6282163378483772e-06
1.0,post,38945,0.42798584553167174
