month,site,google_sessions_to_site,total_google_sessions,sessions_per_1000_google,all_sessions_to_site,total_sessions,sessions_per_1000_all,minutes_on_site,total_minutes,minutes_per_1000_all,google_trends_index
202403,xhamster,1100,1236819,0.889378,13923,9825361,1.417047,70531.5,35439197.58,1.990212,92
202403,chaturbate,291,1236819,0.235281,30331,9825361,3.087011,188497.22,35439197.58,5.318891,80
202404,pornhub,5724,1145419,4.997298,32736,9277061,3.528704,281306.7,34245025.15,8.214527,75
202404,xvideos,4441,1145419,3.877184,22494,9277061,2.42469,75686.17,34245025.15,2.210136,85
202404,xnxx,2064,1145419,1.801961,12096,9277061,1.303861,34378.73,34245025.15,1.003904,90
202404,xhamster,750,1145419,0.654782,13595,9277061,1.465443,69724.98,34245025.15,2.036062,83
202404,chaturbate,258,1145419,0.225245,29875,9277061,3.220309,150557.35,34245025.15,4.396474,73
202405,pornhub,5433,1093777,4.967192,32579,8860033,3.677074,268799.95,31463193.82,8.543314,80
202405,xvideos,4321,1093777,3.950531,21070,8860033,2.378095,66834.55,31463193.82,2.124214,89
202405,xnxx,1946,1093777,1.779156,11044,8860033,1.246496,29389.0,31463193.82,0.934076,93
202405,xhamster,641,1093777,0.586043,13527,8860033,1.526744,72134.5,31463193.82,2.292663,90
202405,chaturbate,247,1093777,0.225823,28859,8860033,3.257211,141218.47,31463193.82,4.48837,75
202406,pornhub,5261,1097391,4.794098,32165,8769784,3.667707,269319.86,30137862.36,8.936263,82
202406,xvideos,4317,1097391,3.933876,20743,8769784,2.365281,67723.22,30137862.36,2.247114,88
202406,xnxx,1835,1097391,1.672148,10523,8769784,1.199916,26309.83,30137862.36,0.872983,95
202406,xhamster,588,1097391,0.535816,13167,8769784,1.501405,90737.12,30137862.36,3.010735,98
202406,chaturbate,230,1097391,0.209588,28282,8769784,3.224937,133281.53,30137862.36,4.422395,76
202407,pornhub,5213,1138745,4.577847,31753,9280961,3.421305,269948.73,32159241.87,8.394126,80
202407,xvideos,4514,1138745,3.964013,21951,9280961,2.365165,68837.75,32159241.87,2.140528,92
202407,xnxx,1967,1138745,1.72734,10453,9280961,1.126284,28098.67,32159241.87,0.873735,92
202407,xhamster,530,1138745,0.465425,13194,9280961,1.42162,110647.4,32159241.87,3.44061,96
202407,chaturbate,256,1138745,0.224809,29729,9280961,3.203224,152797.72,32159241.87,4.751285,77
202408,pornhub,5107,1151491,4.435119,31999,9559318,3.347415,263221.53,34192929.56,7.698128,76
202408,xvideos,5040,1151491,4.376934,22701,9559318,2.374751,65783.45,34192929.56,1.92389,88
202408,xnxx,1853,1151491,1.609218,10540,9559318,1.102589,26753.98,34192929.56,0.782442,89
202408,xhamster,806,1151491,0.699962,13238,9559318,1.384827,102756.55,34192929.56,3.005199,91
202408,chaturbate,225,1151491,0.195399,28498,9559318,2.981175,154300.97,34192929.56,4.512657,73
202409,pornhub,5976,1444177,4.137997,36518,11006091,3.317981,291284.88,38291844.99,7.606969,66
202409,xvideos,5997,1444177,4.152538,25728,11006091,2.337615,64361.68,38291844.99,1.68082,88
202409,xnxx,2630,1444177,1.821106,11643,11006091,1.057869,27805.13,38291844.99,0.726137,88
202409,xhamster,1054,1444177,0.729827,13916,11006091,1.264391,116039.8,38291844.99,3.030405,89
202409,chaturbate,254,1444177,0.175879,31207,11006091,2.83543,155066.4,38291844.99,4.049593,71
