pages,period,count,share
117.0,post,14,0.000202487706103558
118.0,post,18,0.0002603413364188603
119.0,post,10,0.0001446340757882557
120.0,post,9,0.00013017066820943015
121.0,post,10,0.0001446340757882557
122.0,post,7,0.000101243853051779
123.0,post,10,0.0001446340757882557
124.0,post,7,0.000101243853051779
125.0,post,11,0.00015909748336708128
126.0,post,7,0.000101243853051779
127.0,post,10,0.0001446340757882557
128.0,post,11,0.00015909748336708128
129.0,post,4,5.785363031530229e-05
130.0,post,7,0.000101243853051779
131.0,post,13,0.00018802429852473243
132.0,post,9,0.00013017066820943015
133.0,post,7,0.000101243853051779
134.0,post,5,7.231703789412785e-05
135.0,post,6,8.678044547295343e-05
136.0,post,5,7.231703789412785e-05
137.0,post,6,8.678044547295343e-05
138.0,post,4,5.785363031530229e-05
139.0,post,8,0.00011570726063060458
140.0,post,5,7.231703789412785e-05
141.0,post,10,0.0001446340757882557
142.0,post,6,8.678044547295343e-05
143.0,post,11,0.00015909748336708128
144.0,post,3,4.339022273647671e-05
145.0,post,4,5.785363031530229e-05
146.0,post,3,4.339022273647671e-05
147.0,post,4,5.785363031530229e-05
148.0,post,11,0.00015909748336708128
149.0,post,6,8.678044547295343e-05
150.0,post,7,0.000101243853051779
151.0,post,9,0.00013017066820943015
152.0,post,5,7.231703789412785e-05
153.0,post,4,5.785363031530229e-05
154.0,post,3,4.339022273647671e-05
155.0,post,4,5.785363031530229e-05
156.0,post,4,5.785363031530229e-05
157.0,post,6,8.678044547295343e-05
158.0,post,3,4.339022273647671e-05
159.0,post,6,8.678044547295343e-05
160.0,post,3,4.339022273647671e-05
161.0,post,6,8.678044547295343e-05
162.0,post,7,0.000101243853051779
163.0,post,2,2.8926815157651144e-05
164.0,post,3,4.339022273647671e-05
165.0,post,11,0.00015909748336708128
166.0,post,6,8.678044547295343e-05
167.0,post,3,4.339022273647671e-05
168.0,post,1,1.4463407578825572e-05
169.0,post,6,8.678044547295343e-05
170.0,post,9,0.00013017066820943015
171.0,post,9,0.00013017066820943015
172.0,post,3,4.339022273647671e-05
173.0,post,5,7.231703789412785e-05
174.0,post,8,0.00011570726063060458
175.0,post,7,0.000101243853051779
176.0,post,12,0.00017356089094590685
177.0,post,7,0.000101243853051779
178.0,post,15,0.00021695111368238358
179.0,post,8,0.00011570726063060458
180.0,post,6,8.678044547295343e-05
181.0,post,5,7.231703789412785e-05
182.0,post,6,8.678044547295343e-05
183.0,post,10,0.0001446340757882557
184.0,post,1,1.4463407578825572e-05
185.0,post,7,0.000101243853051779
186.0,post,5,7.231703789412785e-05
187.0,post,13,0.00018802429852473243
188.0,post,7,0.000101243853051779
189.0,post,8,0.00011570726063060458
190.0,post,5,7.231703789412785e-05
191.0,post,5,7.231703789412785e-05
192.0,post,9,0.00013017066820943015
193.0,post,2,2.8926815157651144e-05
194.0,post,1,1.4463407578825572e-05
195.0,post,2,2.8926815157651144e-05
196.0,post,9,0.00013017066820943015
198.0,post,2,2.8926815157651144e-05
200.0,post,3,4.339022273647671e-05
201.0,post,1,1.4463407578825572e-05
202.0,post,1,1.4463407578825572e-05
207.0,post,1,1.4463407578825572e-05
211.0,post,2,2.8926815157651144e-05
